Name,Core Voltage,ALMs,Total I/Os,GPIOs,GXB Channel PMA,GXB Channel PCS,PCIe Hard IP Blocks,Memory Controllers,Memory Bits,DSP Blocks,Fractional PLLs,DLLs,Global Clocks,HPS CPU Cores
5CGXFC5C6U19C6,1.1V,29080,252,224,6,6,2,2,4567040,150,6,4,16,0
5CGXFC5C6U19A7,1.1V,29080,252,224,6,6,2,2,4567040,150,6,4,16,0
5CGXFC5C6M13I7,1.1V,29080,203,175,6,6,2,1,4567040,150,6,4,16,0
5CGXFC5C6M13C7,1.1V,29080,203,175,6,6,2,1,4567040,150,6,4,16,0
5CGXFC5C6M13C6,1.1V,29080,203,175,6,6,2,1,4567040,150,6,4,16,0
5CGXFC5C6F27I7,1.1V,29080,364,336,6,6,2,2,4567040,150,6,4,16,0
5CGXFC5C6F27C7,1.1V,29080,364,336,6,6,2,2,4567040,150,6,4,16,0
5CGXFC5C6F27C6,1.1V,29080,364,336,6,6,2,2,4567040,150,6,4,16,0
5CGXFC5C6F23I7,1.1V,29080,268,240,6,6,2,2,4567040,150,6,4,16,0
5CGXFC5C6F23C7,1.1V,29080,268,240,6,6,2,2,4567040,150,6,4,16,0
5CGXFC5C6F23C6,1.1V,29080,268,240,6,6,2,2,4567040,150,6,4,16,0
5CGXFC5C6F23A7,1.1V,29080,268,240,6,6,2,2,4567040,150,6,4,16,0
5CGXFC4F7M11C8,1.1V,18860,149,129,4,4,1,0,2560000,70,6,4,16,0
5CGXFC4F6M11I7,1.1V,18860,149,129,4,4,1,0,2560000,70,6,4,16,0
5CGXFC4F6M11C7,1.1V,18860,149,129,4,4,1,0,2560000,70,6,4,16,0
5CGXFC4F6M11C6,1.1V,18860,149,129,4,4,1,0,2560000,70,6,4,16,0
5CGXFC4C7U19C8,1.1V,18860,252,224,6,6,2,2,2560000,70,6,4,16,0
5CGXFC4C7M13C8,1.1V,18860,203,175,6,6,2,1,2560000,70,6,4,16,0
5CGXFC4C7F27C8,1.1V,18860,364,336,6,6,2,2,2560000,70,6,4,16,0
5CGXFC4C7F23C8,1.1V,18860,268,240,6,6,2,2,2560000,70,6,4,16,0
5CGXFC4C6U19I7,1.1V,18860,252,224,6,6,2,2,2560000,70,6,4,16,0
5CGXFC4C6U19C7,1.1V,18860,252,224,6,6,2,2,2560000,70,6,4,16,0
5CGXFC4C6U19C6,1.1V,18860,252,224,6,6,2,2,2560000,70,6,4,16,0
5CGXFC4C6U19A7,1.1V,18860,252,224,6,6,2,2,2560000,70,6,4,16,0
5CGXFC4C6M13I7,1.1V,18860,203,175,6,6,2,1,2560000,70,6,4,16,0
5CGXFC4C6M13C7,1.1V,18860,203,175,6,6,2,1,2560000,70,6,4,16,0
5CGXFC4C6M13C6,1.1V,18860,203,175,6,6,2,1,2560000,70,6,4,16,0
5CGXFC4C6F27I7,1.1V,18860,364,336,6,6,2,2,2560000,70,6,4,16,0
5CGXFC4C6F27C7,1.1V,18860,364,336,6,6,2,2,2560000,70,6,4,16,0
5CGXFC4C6F27C6,1.1V,18860,364,336,6,6,2,2,2560000,70,6,4,16,0
5CGXFC4C6F23I7,1.1V,18860,268,240,6,6,2,2,2560000,70,6,4,16,0
5CGXFC4C6F23C7,1.1V,18860,268,240,6,6,2,2,2560000,70,6,4,16,0
5CGXFC4C6F23C6,1.1V,18860,268,240,6,6,2,2,2560000,70,6,4,16,0
5CGXFC3B7U19C8,1.1V,13460,222,208,3,3,1,1,1382400,57,4,3,16,0
5CGXFC3B7U15C8,1.1V,13460,158,144,3,3,1,0,1382400,57,4,3,16,0
5CGXFC3B7F23C8,1.1V,13460,222,208,3,3,1,1,1382400,57,4,3,16,0
5CGXFC3B6U19I7,1.1V,13460,222,208,3,3,1,1,1382400,57,4,3,16,0
5CGXFC3B6U19C7,1.1V,13460,222,208,3,3,1,1,1382400,57,4,3,16,0
5CGXFC3B6U19C6,1.1V,13460,222,208,3,3,1,1,1382400,57,4,3,16,0
5CGXFC3B6U19A7,1.1V,13460,222,208,3,3,1,1,1382400,57,4,3,16,0
5CGXFC3B6U15I7,1.1V,13460,158,144,3,3,1,0,1382400,57,4,3,16,0
5CGXFC3B6U15C7,1.1V,13460,158,144,3,3,1,0,1382400,57,4,3,16,0
5CGXFC3B6U15C6,1.1V,13460,158,144,3,3,1,0,1382400,57,4,3,16,0
5CGXFC3B6U15A7,1.1V,13460,158,144,3,3,1,0,1382400,57,4,3,16,0
5CGXFC3B6F23I7,1.1V,13460,222,208,3,3,1,1,1382400,57,4,3,16,0
5CGXFC3B6F23C7,1.1V,13460,222,208,3,3,1,1,1382400,57,4,3,16,0
5CGXFC3B6F23C6,1.1V,13460,222,208,3,3,1,1,1382400,57,4,3,16,0
5CGXBC9E7F35C8,1.1V,113560,616,560,12,12,0,0,12492800,342,8,4,16,0
5CGXBC9E7F31C8,1.1V,113560,536,480,12,12,0,0,12492800,342,8,4,16,0
